source_id	source_identifier	attempted_identifier_type	failure_type	severity	resolved_hgnc_symbol	action_required	notes
special_case_policy	CLDN18	target_interpretation	CLDN18.2_isoform_unresolved_gene_level_only	flag	CLDN18	Preserve flag during ranking and candidate interpretation.	CLDN18.2 clinical target cannot be claimed from gene-level CLDN18 without transcript/isoform evidence.
special_case_policy	ERBB2	target_interpretation	gene_level_acceptable_amplification_and_protein_evidence_required_downstream	flag	ERBB2	Preserve flag during ranking and candidate interpretation.	ERBB2 gene-level mapping is acceptable; amplification/protein evidence must be registered downstream.
special_case_policy	FGFR2	target_interpretation	FGFR2b_isoform_unresolved_gene_level_only	flag	FGFR2	Preserve flag during ranking and candidate interpretation.	FGFR2b/IIIb context must be separated from other FGFR2 isoforms when evidence becomes available.
special_case_policy	HLA-A	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-A	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-B	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-B	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-C	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-C	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DMA	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DMA	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DMB	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DMB	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DOA	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DOA	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DOB	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DOB	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
special_case_policy	HLA-DPA1	target_interpretation	hla_nonconventional_target_requires_specific_modality	flag	HLA-DPA1	Preserve flag during ranking and candidate interpretation.	HLA genes should not be ranked as conventional surface targets without modality-specific rationale.
