rank	gene	tier	automatic_audit_flags	tme_contamination_risk	risk_interpretation	max_risk_organ	accessibility_class	hpa_evidence_status	discordance_flags	missing_primary_score_components	isoform_resolution_status	principal_caveat
1	ITGB4	Tier 1	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	hematopoietic	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	CAVEAT: basal/stratified epithelial (skin keratinocyte/hemidesmosome) normal expression; skin not in organ-risk model so R may under-weight it; preclinical agents only
2	HLA-DRB3	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence renormalization artifact; immune MHC-II gene
3	HLA-DRB4	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence; immune MHC-II gene
4	KIR2DL5A	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence; immune NK receptor
5	KIR2DS1	Watchlist	protein_missing;thin_evidence_missing_3plus	not_assessable_missing_bulk_expression	missing_normal_expression		A	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	E;N;R;P	not_isoform_critical_or_single_canonical_mapping	thin-evidence; immune NK receptor
6	CDH3	Tier 1	none	low_uncorrected_tme_correlation	moderate_off_tumor_risk	immune	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	established TAA; confirm membranous tumor IHC in pass 2
7	MPZL1	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	endothelial	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	needs cell-resolution to confirm tumor-epithelial origin
8	ITGB5	Tier 2	high_TME_flag;high_normal_risk	high_purity_adjusted_tme_correlation	high_critical_off_tumor_risk	endothelial	A	stomach_cancer_ihc_available	CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	high TME + broad expression
9	NECTIN2	Tier 1	high_normal_risk	low_uncorrected_tme_correlation	high_critical_off_tumor_risk	liver	A	stomach_cancer_ihc_available	CPTAC_not_assessed		multiple_uniprot_isoforms_mapped_not_resolved	CAVEAT: purity-adjusted myeloid/DC partial 0.32 p<0.001 + LAMP3+ DC checkpoint literature; closest-to-threshold Tier 1 member; single-cell confirmation needed (user-confirmed Tier 1 2026-05-31)
10	BST2	Tier 2	high_normal_risk	watchlist_uncorrected_tme_correlation	high_critical_off_tumor_risk	hematopoietic	A	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed		not_isoform_critical_or_single_canonical_mapping	membrane localization discordance; hematopoietic risk
