week_real	phase	hours_real	hours_estimated	ratio	overrun_reason	note
2026-W22	bootstrap	0	20-35	0.00		Initial repository bootstrap started; no data execution yet.
2026-W22	Fase 0B literature landscape initial pass	2	12	0.17		Initial web/PubMed/publisher search completed; decision go_with_narrower_claim pending manual Google Scholar confirmation.
2026-W22	Deep research report assessment	1	3	0.33		Reviewed user-provided deep research report and incorporated additional comparators/benchmarks.
2026-W22	Fase 0B closure and preregistration gaps	1	4	0.25		Closed Fase 0B for execution as go_with_narrower_claim; documented authorship, exclusion criteria, and reference machine.
2026-W22	Fase 1 dataset inventory	4	12	0.33		Queried lightweight metadata from GDC, Xena/Toil, cBioPortal, HPA, UniProt, DepMap, and PDC; generated inventory, sample counts, and coverage matrix.
2026-W22	Fase 2 MVP data acquisition and batch diagnostic	2	10	0.20		Downloaded/captured Xena/Toil, HPA, UniProt, and GDC metadata raw files with checksums; generated PCA and PERMANOVA batch diagnostic.
2026-W22	Environment check repair	0.5	2	0.25		Installed pinned pytest and snakemake dev dependencies; configured pytest import path; verified tests, smoke test, snakemake summary, and snakemake dry run.
2026-W22	Fase 3 identifier normalization	1.5	6	0.25		Downloaded HGNC complete set with checksum; built id_map_master, control mapping audit, source coverage, and mapping flags.
2026-W22	Fase 4 surfaceome universe	1.5	6	0.25		Downloaded TCSA, CSPA, SURFY, and UniProt GO sources; built surfaceome universe, source-overlap/Jaccard figures, and control/FP/FN audit.
2026-W22	Fase 4B ranking resolution	0.75	10-20	0.04		Simulated 500 pre-scoring synthetic rankings over Core+Probable genes to calibrate tier granularity before biological scoring.
2026-W22	Reproducibility R5b non-determinism inventory	0.25	3	0.08		Added explicit non-determinism inventory, reproducibility tolerances, and remaining release/runtime mitigations before biological scoring.
2026-W22	Fase 5 tumor expression and heterogeneity	1.5	8-12	0.15		Built TCGA-STAD tumor-expression component, subtype/stage/site expression summaries, subtype power analysis, covariate availability audit, and ERBB2/FGFR2/MET CNA-expression context.
2026-W22	Fase 6 normal selectivity and off-tumor risk	1.5	8-12	0.15		Built critical tissue mappings, normal-expression summaries, tumor-normal Mann-Whitney tests, tumor-normal power curves, `N_score`, `R_score`, and organ penalty tables.
2026-W22	Fase 7 protein evidence and localization	1	6-10	0.10		Built HPA stomach cancer IHC protein evidence, HPA normal protein context, subcellular membrane/localization support, `P_score`, discordance flags, and RNA-protein concordance figure.
2026-W22	Fase 8 single-cell/TME MVP fallback	2.75	30-60	0.03		Closed scRNA admission as not available for MVP; built TME marker modules, ESTIMATE/tidyestimate purity-adjusted partial correlations, TME flags, and `SC=not_available` specificity table.
2026-W22	Fase 9 topology isoforms and ECD accessibility	1.75	35-60	0.04		Downloaded expanded UniProt reviewed-human feature file, built topology_isoforms_ecd, isoform risk flags, ECD distribution figure, `T_score`, and CLDN18.2/FGFR2b unresolved flags.
2026-W22	Fase 13 MVP score integration	1.5	35-60	0.03		Registered Fase 10-12 scope deferral, built six-component preliminary MVP rankings, frozen ranking_v0, scenario/functional-form diagnostics, control recovery, and post-scoring sanity table.
2026-W22	Fase 13 diagnostic and v1 normalization fix	1.25	8-12	0.10		Diagnosed Surf ordinal-percentile bug, registered theoretical-scale fix before v1 interpretation, preserved ranking_v0, and generated ranking_v1 plus v0/v1 diagnostic tables.
2026-W22	Fase 13 cause-corrected positive-control gate	0.5	2-4	0.17		Added component-level classification of the eight positive controls; aggregate 3/8 top50 gate remains failed, but 0/5 original misses remain pipeline-accusing, so Fase 13 is eligible_for_fase14.
2026-W22	Fase 16 figures and tables	1	8-12	0.10		Packaged manuscript-ready figures, main tables, figure manifest, supplementary table manifest, and reproducibility check from frozen Fase 13-15 artifacts without changing scores/ranks/tiers.
2026-W22	Fase 17 manuscript brief/scaffold	0.75	12-20	0.04		Archived CSBJ narrative brief, contribution order, claim guardrails, figure/table plan, highlights, graphical abstract brief, and manuscript scaffold without changing analysis artifacts.
2026-W22	Fase 17 methods draft	1	10-18	0.07		Converted manuscript Materials and methods from outline to first-pass prose using frozen configs and phase documents; added placeholder guardrails to the Fase 17 check.
2026-W22	Fase 17 results draft	1	10-18	0.07		Converted manuscript Results from outline to first-pass prose using Fase 13-16 frozen artifacts, Wang cross-check, and coarse-tier outputs; added Results placeholder guardrails.
2026-W22	Fase 17 discussion and conclusions draft	0.75	8-14	0.05		Converted manuscript Discussion and Conclusions from outline to first-pass prose, preserving GPI, TME, isoform, HPA, and no-wet-lab guardrails.
2026-W22	Fase 17 author metadata update	0.25	1-2	0.17		Inserted user-supplied author name, affiliation, ORCID, corrected correspondence email, and final single-author declaration wording into the manuscript and LaTeX handoff while leaving the PDF non-final.
2026-W22	Fase 17 reviewer consistency audit	0.75	3-5	0.19		Verified Surf scaling against code, added Wang 2026 overlap enrichment testing, corrected active-layer wording and CDH3 framing, regenerated manuscript handoff without changing scores/ranks/tiers.
2026-W22	Fase 17B GPI and Wang hardening	0.75	2-4	0.25		Quantified GPI correction impact, added Wang matched-null sensitivity, narrowed Wang manuscript language to consistency-check framing, and regenerated graphical abstract rasters without changing scores/ranks/tiers.
